rank,pri_sch_name,latitude,longitude
170,ANGSANA PRIMARY SCHOOL,1.34855287558648,103.951808105552
171,UNITY PRIMARY SCHOOL,1.40285481877246,103.746822625758
172,TOWNSVILLE PRIMARY SCHOOL,1.36003263746623,103.853826048327
173,FARRER PARK PRIMARY SCHOOL,1.31236867681371,103.850766402965
174,PALM VIEW PRIMARY SCHOOL,1.38376923022123,103.891354675017
175,WATERWAY PRIMARY SCHOOL,1.39882800626578,103.918621581556
176,CHANGKAT PRIMARY SCHOOL,1.34023163951633,103.952080114035
177,OASIS PRIMARY SCHOOL,1.40462413200793,103.911120600638
178,FERN GREEN PRIMARY SCHOOL,1.39726966050479,103.880330305684
179,SAINT GABRIEL'S PRIMARY SCHOOL,1.34947192653862,103.862561037707
180,SI LING PRIMARY SCHOOL,1.43240935732525,103.786035065192
181,CANTONMENT PRIMARY SCHOOL,1.27547252623201,103.839962631748
182,PUNGGOL COVE PRIMARY SCHOOL,1.41159923273069,103.898803921164
183,VALOUR PRIMARY SCHOOL,1.40683570215319,103.899078139493
184,NORTHOAKS PRIMARY SCHOOL,1.45660782030102,103.814196981329
185,NORTHSHORE PRIMARY SCHOOL,1.41813803336667,103.904416909742
